4.493401e+002,-8.524444e-001
4.512686e+002,-7.940395e-001
4.531971e+002,-9.279041e-001
4.551256e+002,-9.175888e-001
4.570541e+002,-8.592355e-001
4.589826e+002,-8.776288e-001
4.609111e+002,-9.297616e-001
4.628396e+002,-8.794440e-001
4.647681e+002,-8.618013e-001
4.666966e+002,-8.631276e-001
4.686251e+002,-9.055508e-001
4.705536e+002,-8.743965e-001
4.724821e+002,-8.124706e-001
4.744106e+002,-7.521235e-001
4.763391e+002,-8.093156e-001
4.782676e+002,-7.875652e-001
4.801961e+002,-7.393823e-001
4.821246e+002,-6.901024e-001
4.840531e+002,-7.034761e-001
4.859816e+002,-7.859285e-001
4.879101e+002,-8.701639e-001
4.898386e+002,-7.623746e-001
4.917671e+002,-7.123726e-001
4.936956e+002,-6.844248e-001
4.956241e+002,-7.290289e-001
4.975526e+002,-7.460800e-001
4.994811e+002,-8.144250e-001
5.014096e+002,-8.262702e-001
5.033381e+002,-7.867933e-001
5.052666e+002,-7.599482e-001
5.071951e+002,-8.151129e-001
5.091236e+002,-7.675597e-001
5.110521e+002,-6.822349e-001
5.129806e+002,-6.291212e-001
5.149091e+002,-7.077887e-001
5.168376e+002,-7.555793e-001
5.187661e+002,-7.073594e-001
5.206946e+002,-6.221493e-001
5.226231e+002,-6.364381e-001
5.245516e+002,-5.594463e-001
5.264801e+002,-5.137863e-001
5.284086e+002,-5.265511e-001
5.303371e+002,-5.266510e-001
5.322656e+002,-4.786706e-001
5.341941e+002,-4.819382e-001
5.361226e+002,-4.644051e-001
5.380511e+002,-4.458323e-001
5.399796e+002,-4.583978e-001
5.419081e+002,-4.166402e-001
5.438365e+002,-3.617917e-001
5.457651e+002,-3.632013e-001
5.476935e+002,-3.087104e-001
5.496221e+002,-3.126328e-001
5.515506e+002,-2.750802e-001
5.534791e+002,-2.111586e-001
5.554076e+002,-1.715709e-001
5.573361e+002,-1.432370e-001
5.592646e+002,-1.175822e-001
5.611931e+002,-7.988009e-002
5.631216e+002,-3.630305e-002
5.650500e+002,-1.356662e-002
5.669786e+002,4.419259e-002
5.689070e+002,1.058336e-001
5.708356e+002,1.511735e-001
5.727640e+002,1.974917e-001
5.746926e+002,2.335339e-001
5.766210e+002,2.662867e-001
5.785496e+002,3.156293e-001
5.804780e+002,3.508632e-001
5.824066e+002,4.069505e-001
5.843350e+002,4.645300e-001
5.862635e+002,5.072238e-001
5.881920e+002,5.459069e-001
5.901205e+002,5.731297e-001
5.920490e+002,6.099621e-001
5.939775e+002,6.438099e-001
5.959060e+002,6.652136e-001
5.978345e+002,6.918762e-001
5.997631e+002,7.198150e-001
6.016915e+002,7.498308e-001
6.036201e+002,7.654195e-001
6.055485e+002,7.815833e-001
6.074771e+002,8.109964e-001
6.094055e+002,8.250294e-001
6.113340e+002,8.293762e-001
6.132625e+002,8.473915e-001
6.151910e+002,8.589976e-001
6.171195e+002,8.618788e-001
6.190480e+002,8.854657e-001
6.209765e+002,9.076144e-001
6.229050e+002,9.256738e-001
6.248335e+002,9.461182e-001
6.267620e+002,9.528576e-001
6.286905e+002,9.467856e-001
6.306190e+002,9.459564e-001
6.325475e+002,9.630185e-001
6.344760e+002,9.874117e-001
6.364045e+002,9.879184e-001
6.383330e+002,9.976826e-001
6.402615e+002,1.008047e+000
6.421900e+002,1.029082e+000
6.441185e+002,1.037638e+000
6.460470e+002,1.025164e+000
6.479755e+002,1.037335e+000
6.499040e+002,1.056891e+000
6.518325e+002,1.062209e+000
6.537610e+002,1.081732e+000
6.556895e+002,1.087505e+000
6.576180e+002,1.084963e+000
6.595465e+002,1.097292e+000
6.614750e+002,1.118157e+000
6.634035e+002,1.128463e+000
6.653320e+002,1.103930e+000
6.672605e+002,9.843849e-001
6.691890e+002,1.001917e+000
6.711175e+002,1.130076e+000
6.730460e+002,1.165248e+000
6.749745e+002,1.185010e+000
6.769030e+002,1.189808e+000
6.788315e+002,1.189702e+000
6.807599e+002,1.178757e+000
6.826885e+002,1.181322e+000
6.846169e+002,1.184187e+000
6.865455e+002,1.193412e+000
6.884739e+002,1.214177e+000
6.904025e+002,1.225932e+000
6.923309e+002,1.236980e+000
6.942595e+002,1.243892e+000
6.961880e+002,1.265135e+000
6.981165e+002,1.274678e+000
7.000450e+002,1.278824e+000
7.019734e+002,1.281242e+000
7.039020e+002,1.281076e+000
7.058304e+002,1.289538e+000
7.077590e+002,1.287000e+000
7.096874e+002,1.290035e+000
7.116160e+002,1.300960e+000
7.135444e+002,1.299719e+000
7.154730e+002,1.305791e+000
7.174014e+002,1.326780e+000
7.193300e+002,1.334868e+000
7.212584e+002,1.318048e+000
7.231870e+002,1.312575e+000
7.251154e+002,1.331066e+000
7.270439e+002,1.344180e+000
7.289724e+002,1.347112e+000
7.309009e+002,1.360078e+000
7.328294e+002,1.362241e+000
7.347579e+002,1.347473e+000
7.366864e+002,1.342328e+000
7.386149e+002,1.348228e+000
7.405434e+002,1.351787e+000
7.424719e+002,1.360412e+000
7.444004e+002,1.372811e+000
7.463289e+002,1.374224e+000
7.482574e+002,1.370241e+000
7.501859e+002,1.362172e+000
7.521144e+002,1.362510e+000
7.540429e+002,1.374759e+000
7.559714e+002,1.368998e+000
7.578999e+002,1.364218e+000
7.598284e+002,1.393616e+000
7.617569e+002,1.390459e+000
7.636854e+002,1.376791e+000
7.656139e+002,1.384157e+000
7.675424e+002,1.397792e+000
7.694709e+002,1.422223e+000
7.713994e+002,1.409225e+000
7.733279e+002,1.382613e+000
7.752564e+002,1.388554e+000
7.771849e+002,1.399660e+000
