Year,Author,Fo,peak,name,celsius,GPa ,hours,fO2Buffer,logf02,orientation,log10D,Experiment,mechanism,polarized IR
in prep,Ferriss,87.7,bulk H,SC1-2,800,0.0001,43,Ni-NiO-2.8,-16.75,b,-12.3,dehydration,pp,"yes, E || a"
in prep,Ferriss,87.7,bulk H,SC1-2,800,0.0001,43,Ni-NiO-2.8,-16.75,c,-11.9,dehydration,pp,"yes, E || a"
in prep,Ferriss,87.7,3525,SC1-2,800,0.0001,43,Ni-NiO-2.8,-16.75,a,-11.4,dehydration,[Ti],"yes, E || a"
in prep,Ferriss,87.7,3525,SC1-2,800,0.0001,43,Ni-NiO-2.8,-16.75,b,-12.3,dehydration,[Ti],"yes, E || a"
in prep,Ferriss,87.7,3525,SC1-2,800,0.0001,43,Ni-NiO-2.8,-16.75,c,-11.9,dehydration,[Ti],"yes, E || a"
in prep,Ferriss,87.7,3600,SC1-2,800,0.0001,43,Ni-NiO-2.8,-16.75,a,-12,dehydration,[Si],"yes, E || a"
in prep,Ferriss,87.7,3600,SC1-2,800,0.0001,43,Ni-NiO-2.8,-16.75,b,-12.3,dehydration,[Si],"yes, E || a"
in prep,Ferriss,87.7,3600,SC1-2,800,0.0001,43,Ni-NiO-2.8,-16.75,c,-11.9,dehydration,[Si],"yes, E || a"
in prep,Ferriss,87.7,bulk H,SC1-2,800,0.0001,68,Ni-NiO-2.8,-16.75,a,-11.6,dehydration,pp,"yes, E || a"
in prep,Ferriss,87.7,bulk H,SC1-2,800,0.0001,68,Ni-NiO-2.8,-16.75,b,-12.3,dehydration,pp,"yes, E || a"
in prep,Ferriss,87.7,bulk H,SC1-2,800,0.0001,68,Ni-NiO-2.8,-16.75,c,-11.9,dehydration,pp,"yes, E || a"
in prep,Ferriss,87.7,3525,SC1-2,800,0.0001,68,Ni-NiO-2.8,-16.75,a,-11.5,dehydration,[Ti],"yes, E || a"
in prep,Ferriss,87.7,3525,SC1-2,800,0.0001,68,Ni-NiO-2.8,-16.75,b,-12.3,dehydration,[Ti],"yes, E || a"
in prep,Ferriss,87.7,3525,SC1-2,800,0.0001,68,Ni-NiO-2.8,-16.75,c,-11.9,dehydration,[Ti],"yes, E || a"
