,wavenumber (cm-1),absorbance (cm-1)
0,674.9918,28.037409771962963
1,676.9203,28.072985577664305
2,678.8489,28.072985577664305
3,680.7775,28.1320094483032
4,682.706,28.180110862177386
5,684.6346,28.220556592451963
6,686.5631,28.245213377203868
7,688.4916,28.276792642575323
8,690.4202,28.306049296819708
9,692.3488,28.34307982670922
10,694.2773,28.360435503998076
11,696.2059,28.383854708087306
12,698.1344,28.40567831956202
13,700.0629,28.446253236491003
14,701.9915,28.48030147872032
15,703.92,28.52620328365434
16,705.8486,28.57633251570484
17,707.7772,28.636417366101192
18,709.7057,28.693849079940854
19,711.6342,28.762578441573446
20,713.5628,28.81971467529931
21,715.4913,28.88797126874983
22,717.4199,28.95171045227451
23,719.3484,29.037914370404543
24,721.277,29.158658539511507
25,723.2055,29.31086103329219
26,725.1341,29.453035069443168
27,727.0626,29.610696386535516
28,728.9911,29.76840717936784
29,730.9197,29.944719476108375
30,732.8483,30.116084198850423
31,734.7768,30.285098823943187
32,736.7054,30.44211558208962
33,738.6339,30.628522304113176
34,740.5624,30.815423783536588
35,742.491,31.010846084846285
36,744.4196,31.209649228388272
37,746.3481,31.42705387583846
38,748.2767,31.63584149857462
39,750.2052,31.852325347530645
40,752.1337,32.0527433242527
41,754.0623,32.259393869886736
42,755.9908,32.456458490898704
43,757.9194,32.668888077828186
44,759.848,32.85701957912067
45,761.7765,33.04927405874521
46,763.705,33.227070627685286
47,765.6336,33.408282397010446
48,767.5621,33.577242049058775
49,769.4907,33.75448888755458
50,771.4193,33.90634505115537
51,773.3478,34.0638496950711
52,775.2763,34.19239041620401
53,777.2048,34.30718100459947
54,779.1334,34.38331179950119
55,781.062,34.449959744239145
56,782.9905,34.4652766087428
57,784.9191,34.46958512109981
58,786.8476,34.43399694646348
59,788.7761,34.39096679593774
60,790.7047,34.31065117802897
61,792.6332,34.22957280912876
62,794.5618,34.12148206052292
63,796.4904,34.023471993939
64,798.4189,33.90758194465499
65,800.3474,33.826318041729834
66,802.276,33.765311705676275
67,804.2045,33.75893483252266
68,806.1331,33.77842964840281
69,808.0616,33.84213653526389
70,809.9902,33.91710602460208
71,811.9187,34.00623107288038
72,813.8473,34.070728197255114
73,815.7758,34.135960586099046
74,817.7043,34.16862831775016
75,819.6329,34.191600178690365
76,821.5615,34.212043279586894
77,823.49,34.269909280477535
78,825.4186,34.344356525893666
79,827.3471,34.43931558851185
80,829.2756,34.52435201661085
81,831.2042,34.59943832366845
82,833.1328,34.64881098919502
83,835.0613,34.68681110615561
84,836.9899,34.71203686191734
85,838.9184,34.74684167067059
86,840.8469,34.77783272446667
87,842.7755,34.81831350005707
88,844.704,34.84562823150705
89,846.6326,34.88536687099768
90,848.5612,34.93678041079863
91,850.4897,34.99179468500958
92,852.4182,35.03808198841765
93,854.3468,35.09692376084688
94,856.2753,35.1542606461849
95,858.2039,35.21873028403741
96,860.1324,35.27392322064276
97,862.061,35.347965039856234
98,863.9895,35.424569977266145
99,865.9181,35.5175843684377
100,867.8466,35.60357595318363
101,869.7751,35.700459072356786
102,871.7037,35.79720475891887
103,873.6323,35.909123005742984
104,875.5608,36.021000022783774
105,877.4894,36.14870240498917
106,879.4179,36.267526640519506
107,881.3464,36.393043844208904
108,883.275,36.52140590294743
109,885.2036,36.65158894378263
110,887.1321,36.75717841886701
111,889.0607,36.87470391622274
112,890.9892,36.99214695401183
113,892.9177,37.10930138331767
114,894.8463,37.21796934889
115,896.7748,37.33311039044368
116,898.7034,37.437985215950505
117,900.632,37.54485968594839
118,902.5605,37.64318584753776
119,904.489,37.743044382740564
120,906.4176,37.82828008812561
121,908.3461,37.91747385270945
122,910.2747,38.00004336543976
123,912.2032,38.087423019557484
124,914.1318,38.16678348081933
125,916.0603,38.24656998317549
126,917.9889,38.31388447607713
127,919.9174,38.38280693052828
128,921.8459,38.44181362209079
129,923.7745,38.50405685164397
130,925.7031,38.5543228291425
131,927.6316,38.605715754051786
132,929.5602,38.6541813643453
133,931.4887,38.711167796525096
134,933.4172,38.75182036287933
135,935.3458,38.79314634902781
136,937.2744,38.81481260016285
137,939.2029,38.84410636121222
138,941.1315,38.870974436676235
139,943.06,38.89422803446912
140,944.9885,38.9001513800062
141,946.9171,38.91583931255974
142,948.8456,38.92881982267521
143,950.7742,38.945167431761874
144,952.7028,38.9469059542919
145,954.6313,38.957027866097135
146,956.5598,38.962044156401156
147,958.4884,38.974220685741884
148,960.4169,38.977835163413
149,962.3455,38.980020341929
150,964.274,38.97349229290322
151,966.2026,38.97896898245432
152,968.1311,38.978192488201785
153,970.0597,38.98254223034211
154,971.9882,38.97806192722126
155,973.9167,38.981325951734156
156,975.8453,38.98047386954552
157,977.7739,38.986321627146516
158,979.7024,38.98183445239511
159,981.6309,38.983091960786396
160,983.5595,38.97763588612695
161,985.488,38.97707241242156
162,987.4166,38.97302502202558
163,989.3452,38.97672195926334
164,991.2737,38.97492159205834
165,993.2022,38.973918333997524
166,995.1308,38.96036747854612
167,997.0593,38.94786111093883
168,998.9879,38.92702632710076
169,1000.916,38.90852102602031
170,1002.845,38.870053638182064
171,1004.773,38.832740684276814
172,1006.702,38.783285559183604
173,1008.6310000000001,38.72100797147764
174,1010.559,38.638514046683426
175,1012.488,38.55310655053454
176,1014.416,38.46495727379482
177,1016.345,38.3999722636508
178,1018.273,38.34575509858406
179,1020.202,38.30844214467879
180,1022.13,38.28175960323973
181,1024.059,38.28327136196149
182,1025.988,38.29254806320865
183,1027.9160000000002,38.317189730373336
184,1029.845,38.34038148349126
185,1031.7730000000001,38.37550238724995
186,1033.702,38.40628042049888
187,1035.63,38.438941280519444
188,1037.559,38.46871605570757
189,1039.487,38.51130642187787
190,1041.4160000000002,38.5503372834215
191,1043.344,38.59606111312418
192,1045.2730000000001,38.63553175902322
193,1047.202,38.683365179305824
194,1049.13,38.727000033320245
195,1051.059,38.76931553426843
196,1052.987,38.80566645989621
197,1054.9160000000002,38.84616785037826
198,1056.844,38.869064123382365
199,1058.7730000000001,38.89236582258914
200,1060.701,38.90715357154017
201,1062.63,38.92540462229014
202,1064.558,38.933478788190456
203,1066.487,38.94500938425915
204,1068.4160000000002,38.94096199386316
205,1070.344,38.93585637236195
206,1072.2730000000001,38.92181763114124
207,1074.201,38.916794469206664
208,1076.13,38.91496661547944
209,1078.058,38.919316357619785
210,1079.987,38.91946753349196
211,1081.915,38.940577182552175
212,1083.844,38.960161329629514
213,1085.7730000000001,38.974062638239154
214,1087.701,38.972200426359166
215,1089.63,38.970358829370845
216,1091.558,38.96003764027956
217,1093.487,38.958910692868784
218,1095.415,38.95008064760761
219,1097.344,38.95304232037614
220,1099.272,38.966105290058245
221,1101.201,38.9881838390265
222,1103.13,39.007871060562145
223,1105.058,39.04877787724686
224,1106.987,39.09376644248033
225,1108.915,39.148430263533065
226,1110.844,39.20065465573931
227,1112.772,39.263317054756264
228,1114.701,39.339763944663446
229,1116.629,39.445827562256014
230,1118.558,39.562253598723196
231,1120.486,39.68063804989811
232,1122.415,39.762609730770265
233,1124.344,39.80320732408008
234,1126.272,39.7979024252928
235,1128.201,39.786852843362844
236,1130.129,39.78241377002532
237,1132.058,39.780187361726
238,1133.986,39.76486362559179
239,1135.915,39.78122497793957
240,1137.843,39.8010771186085
241,1139.772,39.80284999929129
242,1141.7,39.79300295270819
243,1143.629,39.823842830632096
244,1145.557,39.8820386697893
245,1147.486,39.95179946316798
246,1149.415,40.01746476473678
247,1151.343,40.10316774099947
248,1153.272,40.18815606768459
249,1155.2,40.27643590540482
250,1157.129,40.353934154786685
251,1159.057,40.433287744417974
252,1160.986,40.49635556963757
253,1162.914,40.55493622010577
254,1164.843,40.611792091305055
255,1166.772,40.681511654900405
256,1168.7,40.74576827220576
257,1170.629,40.8179684944309
258,1172.557,40.88737196302079
259,1174.486,40.963289737375355
260,1176.414,41.024674013109355
261,1178.343,41.070926958364666
262,1180.271,41.1274942210807
263,1182.2,41.25231051845365
264,1184.129,41.36070361880384
265,1186.057,41.405135581962476
266,1187.986,41.40115690787202
267,1189.914,41.38911781114237
268,1191.843,41.35303487910619
269,1193.771,41.31480112670676
270,1195.7,41.26379988473902
271,1197.628,41.223449670129135
272,1199.557,41.198450678175675
273,1201.485,41.206078188090004
274,1203.414,41.22951044827728
275,1205.343,41.28826976113988
276,1207.271,41.36334232493637
277,1209.2,41.470031260909295
278,1211.128,41.58628550661265
279,1213.057,41.718282657913946
280,1214.985,41.8426110695176
281,1216.914,41.95641901474391
282,1218.8419999999999,42.0144705496595
283,1220.771,42.03147096364874
284,1222.6989999999998,41.977508048912455
285,1224.628,41.84882302353791
286,1226.557,41.630793057707365
287,1228.485,41.36615969346328
288,1230.414,41.0685150160404
289,1232.3419999999999,40.77630579838531
290,1234.271,40.483698026158116
291,1236.1989999999998,40.22302272111281
292,1238.128,39.97874999819862
293,1240.056,39.74182304834607
294,1241.985,39.47494953254155
295,1243.913,39.1843139182832
296,1245.8419999999999,38.84561124830343
297,1247.771,38.47669401878012
298,1249.6989999999998,38.073899650628285
299,1251.628,37.66940798972974
300,1253.556,37.269829544676924
301,1255.485,36.89961357697901
302,1257.413,36.554973818201056
303,1259.3419999999999,36.285516569308456
304,1261.27,36.110750389442444
305,1263.1989999999998,36.0510977646079
306,1265.128,36.06616725041163
307,1267.056,36.12587484829059
308,1268.985,36.18914195079625
309,1270.913,36.27035775230753
310,1272.8419999999999,36.36547486242845
311,1274.77,36.47939275374361
312,1276.6989999999998,36.586329068416475
313,1278.627,36.68433226336984
314,1280.556,36.73397292248799
315,1282.484,36.735580884037496
316,1284.413,36.682002780612216
317,1286.3419999999999,36.59944013951246
318,1288.27,36.47454138257287
319,1290.1989999999998,36.34015290383897
320,1292.127,36.18685369782195
321,1294.056,36.02862753269811
322,1295.984,35.85107834245795
323,1297.913,35.66584666925904
324,1299.8410000000001,35.45509376018459
325,1301.77,35.2381014105676
326,1303.698,35.01141319023969
327,1305.627,34.797121391430224
328,1307.556,34.58502851439785
329,1309.484,34.38237725774592
330,1311.4129999999998,34.16770751925601
331,1313.3410000000001,33.9586175447755
332,1315.27,33.74354238008293
333,1317.1979999999999,33.528542803326445
334,1319.1270000000002,33.30082383841552
335,1321.055,33.06779310308677
336,1322.984,32.810017626135036
337,1324.912,32.53616253368822
338,1326.8410000000001,32.22851963381006
339,1328.77,31.906618100533493
340,1330.6979999999999,31.56782609935653
341,1332.6270000000002,31.239417131945828
342,1334.555,30.916031326469714
343,1336.484,30.608278480502705
344,1338.412,30.31000848469946
345,1340.3410000000001,30.03884019979904
346,1342.269,29.784445565079608
347,1344.1979999999999,29.54492113887784
348,1346.126,29.306784094884826
349,1348.055,29.08037967289878
350,1349.984,28.848640116951024
351,1351.912,28.61600724903132
352,1353.8410000000001,28.376043038474137
353,1355.769,28.141137722330413
354,1357.6979999999999,27.90136660459178
355,1359.626,27.664124934059878
356,1361.555,27.42557765372282
357,1363.483,27.210479125486366
358,1365.412,27.026209480564937
359,1367.3410000000001,26.87792587768888
360,1369.269,26.768005213866658
361,1371.1979999999999,26.717767410053412
362,1373.126,26.71153758979365
363,1375.055,26.76103394467018
364,1376.983,26.85002705764186
365,1378.912,26.96207655260954
366,1380.84,27.072557941484924
367,1382.769,27.170690323092693
368,1384.6979999999999,27.227669196478885
369,1386.626,27.23152624270854
370,1388.555,27.169340734852
371,1390.483,27.054010036295047
372,1392.412,26.86466156923155
373,1394.34,26.6167503179393
374,1396.269,26.33191848284639
375,1398.1970000000001,26.041084965628094
376,1400.126,25.73471194307622
377,1402.0539999999999,25.459225525536013
378,1403.983,25.214842856532954
379,1405.911,25.03738162316389
380,1407.84,24.927376438285854
381,1409.769,24.87978146358347
382,1411.6970000000001,24.867238676334246
383,1413.626,24.88164504978956
384,1415.5539999999999,24.87959730388463
385,1417.483,24.842972200197778
386,1419.411,24.727717089576906
387,1421.34,24.537832635330247
388,1423.2679999999998,24.2288923716036
389,1425.1970000000001,23.797118963081736
390,1427.125,23.269046523983754
391,1429.0539999999999,22.68270197062943
392,1430.983,22.06464827808619
393,1432.911,21.466740831999566
394,1434.84,20.898559372524133
395,1436.7679999999998,20.33331072496891
396,1438.6970000000001,19.793062443693266
397,1440.625,19.30980265608659
398,1442.5539999999999,18.843522667577496
399,1444.4820000000002,18.41116723194775
400,1446.411,18.02018794536952
401,1448.34,17.676493035792667
402,1450.2679999999998,17.39686233786567
403,1452.1970000000001,17.193803593521928
404,1454.125,17.071815659284784
405,1456.0539999999999,17.028916756902625
406,1457.9820000000002,17.028543627363568
407,1459.911,17.0766642818033
408,1461.839,17.164846542369673
409,1463.7679999999998,17.274781636616055
410,1465.6970000000001,17.382336398038724
411,1467.625,17.46976071775505
412,1469.5539999999999,17.529645603702292
413,1471.4820000000002,17.54742800924852
414,1473.411,17.495649585865188
415,1475.339,17.380044709249148
416,1477.2679999999998,17.206316145596713
417,1479.1960000000001,16.989349908175832
418,1481.125,16.7432926228069
419,1483.0529999999999,16.48388719508789
420,1484.9820000000002,16.230323340502363
421,1486.911,15.98528511794451
422,1488.839,15.745935918321864
423,1490.7679999999998,15.514493216814023
424,1492.6960000000001,15.303369239689685
425,1494.625,15.128216874186574
426,1496.5529999999999,14.962627069761652
427,1498.4820000000002,14.805173963075072
428,1500.41,14.665624202632463
429,1502.339,14.546217939994257
430,1504.267,14.46028476410803
431,1506.1960000000001,14.376077741816832
432,1508.125,14.275806908780826
433,1510.0529999999999,14.212378322957164
434,1511.9820000000002,14.180086469497315
435,1513.91,14.1694210117153
436,1515.839,14.183074254461959
437,1517.767,14.215419706640121
438,1519.6960000000001,14.269576401358007
439,1521.624,14.327255493897594
440,1523.5529999999999,14.375097160136855
441,1525.481,14.42421351384378
442,1527.41,14.463930164116638
443,1529.339,14.494650475668912
444,1531.267,14.52028440628552
445,1533.1960000000001,14.532803829990856
446,1535.124,14.523311359544312
447,1537.0529999999999,14.51438923443371
448,1538.981,14.50285451538668
449,1540.91,14.460954748086992
450,1542.838,14.420376395342728
451,1544.767,14.39147912737629
452,1546.6960000000001,14.376896153015748
453,1548.624,14.373517372272616
454,1550.5529999999999,14.379116376847572
455,1552.481,14.398521861530526
456,1554.41,14.423942771599974
457,1556.338,14.452457976907645
458,1558.267,14.484925056946606
459,1560.195,14.488687961837677
460,1562.124,14.471541182117642
461,1564.0520000000001,14.444890937342182
462,1565.981,14.403106613435792
463,1567.91,14.347845647687963
464,1569.838,14.279068184641496
465,1571.767,14.209042146323464
466,1573.695,14.173021058962254
467,1575.624,14.173306231630223
468,1577.5520000000001,14.190800028693204
469,1579.481,14.239728099722969
470,1581.4089999999999,14.332787156493122
471,1583.338,14.447947438612356
472,1585.266,14.576718359368813
473,1587.195,14.702599759477549
474,1589.124,14.81738966070995
475,1591.0520000000001,14.903228008094537
476,1592.981,14.957368898062148
477,1594.9089999999999,14.97059197673616
478,1596.838,14.949911117422484
479,1598.766,14.893990475141527
480,1600.695,14.815758335616557
481,1602.6229999999998,14.7164962579458
482,1604.5520000000001,14.611773982637263
483,1606.48,14.50332522207959
484,1608.4089999999999,14.399788990204582
485,1610.338,14.299507849722744
486,1612.266,14.212032679940325
487,1614.195,14.140002874152906
488,1616.1229999999998,14.086101116928555
489,1618.0520000000001,14.0193054321337
490,1619.98,13.969556888415855
491,1621.9089999999999,13.944680898649294
492,1623.8370000000002,13.933238946614738
493,1625.766,13.928441174162316
494,1627.695,13.945407229998795
495,1629.6229999999998,13.976234051824648
496,1631.5520000000001,14.031562359551897
497,1633.48,14.114942037524457
498,1635.4089999999999,14.230342139550006
499,1637.3370000000002,14.35541818455787
500,1639.266,14.51947630253243
501,1641.194,14.731104657339388
502,1643.1229999999998,14.998481176500409
503,1645.0520000000001,15.325806487772823
504,1646.98,15.733705790262825
505,1648.9089999999999,16.201039886898815
506,1650.8370000000002,16.734876936868087
507,1652.766,17.413486186500588
508,1654.694,18.21179580455899
509,1656.6229999999998,18.983757529586285
510,1658.5510000000002,19.82319523083322
511,1660.48,20.66745681672868
512,1662.408,21.484169348572287
513,1664.3370000000002,22.225335174111223
514,1666.266,22.848703385724505
515,1668.194,23.343882016526152
516,1670.1229999999998,23.74980641239509
517,1672.0510000000002,24.056349164221636
518,1673.98,24.298880615953586
519,1675.908,24.507747949604166
520,1677.8370000000002,24.72191331041146
521,1679.765,24.92056252942905
522,1681.694,25.113030716763816
523,1683.622,25.26251479349755
524,1685.5510000000002,25.439624199382287
